User Name,Follower,Following,Instagram Url
emiratesgrandhotels,"5,170",109,https://www.instagram.com/emiratesgrandhotels/
calabararomadxb,"8,698",228,https://www.instagram.com/calabararomadxb/
amritsruae,10.6K,"6,242",https://www.instagram.com/amritsruae/
addresshotels,93.1K,69,https://www.instagram.com/addresshotels/
mintleafdxb,35.2K,796,https://www.instagram.com/mintleafdxb/
addresshotels,93.1K,69,https://www.instagram.com/addresshotels/
ooroyalmirage,110K,"1,030",https://www.instagram.com/ooroyalmirage/
mumtazmahalrestaurant,838,126,https://www.instagram.com/mumtazmahalrestaurant/
celavidubai,242K,146,https://www.instagram.com/celavidubai/
alshorfadubai,59.7K,0,https://www.instagram.com/alshorfadubai/
lao.dubai,"2,111",395,https://www.instagram.com/lao.dubai/
addresshotels,93.1K,69,https://www.instagram.com/addresshotels/
mamaeshme,91.5K,89,https://www.instagram.com/mamaeshme/
krasota.restaurant.dubai,11.7K,2,https://www.instagram.com/krasota.restaurant.dubai/
hwoodgroup,37.1K,393,https://www.instagram.com/hwoodgroup/
carnivalbytresind,28.9K,16,https://www.instagram.com/carnivalbytresind/?hl=en
movenpickhotels,53.9K,119,https://www.instagram.com/movenpickhotels/
tajhotels,336K,142,https://www.instagram.com/tajhotels/?hl=en&sessionId=842c0819-9973-4fa6-8f2c-0e6c51f1d3af.0133bfcc-6868-4669-9f11-574016843b64&jarvisId=8a620a27-17e3-4602-a5a1-4450bf3b1636
summerplacedubai,"3,311",370,https://www.instagram.com/summerplacedubai/
ciprianidxb,65K,31,https://www.instagram.com/ciprianidxb/
solutionsleisure,31.3K,36,https://www.instagram.com/solutionsleisure/
boardwalkdubai,13.4K,18,https://www.instagram.com/boardwalkdubai/
tanchadubai,16.1K,215,https://www.instagram.com/tanchadubai/
citysocial_dubai,"5,328",3,https://www.instagram.com/citysocial_dubai/
wakamedubai,16.7K,9,https://www.instagram.com/wakamedubai/
praiadubai,26.2K,33,https://www.instagram.com/praiadubai/
themainedxb,41.8K,"1,774",https://www.instagram.com/themainedxb/
eatgrand.dxb,"5,754",188,https://www.instagram.com/eatgrand.dxb/
moonrise.xyz,17.3K,402,https://www.instagram.com/moonrise.xyz/
